source_file,requirement_text,label,reasons
0000 - cctns.pdf,"All error messages produced by the System must be meaningful, so that they can be appropriately acted upon by the users who are likely to see them.",1,"vague_term,weak_modal"
0000 - cctns.pdf,"Ideally, each error message will be accompanied by explanatory text and an indication of the action(s) which the user can take in response to the error.",1,weak_modal
0000 - cctns.pdf,"The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application.",1,vague_term
0000 - cctns.pdf,"The System must be able to display several entities (cases, suspects) simultaneously.",1,undefined_quantity
0000 - cctns.pdf,The interfaces must be made customizable or user-configurable to the extent possible.,0,
0000 - cctns.pdf,Such configurations must be saved in the user profile.,0,
0000 - cctns.pdf,The System user interface must be suitable for users with special needs;,0,
0000 - cctns.pdf,"that is, compatible with specialist software that may be used and with appropriate interface guidelines 6.",1,"vague_term,weak_modal"
0000 - cctns.pdf,The System must provide End User and Administrator functions which are easy to use and intuitive throughout.,1,vague_term
0000 - cctns.pdf,The System must allow persistent defaults for data entry where desirable.,1,vague_term
0000 - cctns.pdf,These defaults should include:,1,weak_modal
0000 - cctns.pdf,Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g.,1,"vague_term,undefined_quantity,weak_modal"
0000 - cctns.pdf,"Where the System employs a graphical user interface, it must allow users to customise it.",1,vague_term
0000 - cctns.pdf,"Customisation should include, but need not be limited to the following changes:",1,"vague_term,weak_modal,missing_actor"
0000 - cctns.pdf,The user interfaces should be designed to make them user-intuitive.,1,"vague_term,weak_modal"
0000 - cctns.pdf,The user interfaces of the system should comply with Standard ISO 9241.,1,weak_modal
0000 - cctns.pdf,ISO 9241-20 shall be the standard for guidance on ICT accessibility.,0,
0000 - cctns.pdf,Software accessibility ISO 9241-171 shall be the standard for guidance on software accessibility.,0,
0000 - cctns.pdf,User interfaces should meet its requirements and recommendations.,1,weak_modal
0000 - cctns.pdf,Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility.,0,
0000 - cctns.pdf,"All non-text media objects, such as graphical images or video, should be provided with alternative equivalent textual descriptions and/or with equivalent text-based functionality.",1,weak_modal
0000 - cctns.pdf,"Navigation should be designed to help users understand where they are, where they have been and where they can go next.",1,"weak_modal,missing_actor"
0000 - cctns.pdf,Each presentation segment (page or window) should provide the user with a clear and sufficient indication of where he or she is in the navigation structure and of the current segment position with respect to the overall structure.,1,"vague_term,weak_modal,undefined_term"
0000 - cctns.pdf,Alternative access paths for navigating to a specific unit of content should be offered to support different navigation strategies.,1,weak_modal
0000 - cctns.pdf,"The number of navigation steps needed to reach a certain piece of content should be minimized as long as different mental models, navigation strategies and tasks of the user are taken into account.",1,weak_modal
0000 - cctns.pdf,Splash screens should be avoided unless they provide useful content or feedback about the application state to the user.,1,weak_modal
0000 - cctns.pdf,"If a splash screen is used, a navigation option to skip it should be offered.",1,weak_modal
0000 - cctns.pdf,Additional windows such as new browser windows or pop-up windows should only be opened if this supports the user’s task.,1,weak_modal
0000 - cctns.pdf,"Opening new windows can distract, confuse or impede users for a variety of reasons.",1,weak_modal
0000 - cctns.pdf,Vertical scrolling should be minimized.,1,weak_modal
0000 - cctns.pdf,Horizontal scrolling should be avoided wherever possible.,1,weak_modal
0000 - cctns.pdf,User interfaces should be designed to allow activation of controls by a variety of input devices.,1,"vague_term,weak_modal"
0000 - cctns.pdf,User interfaces should be designed to be as robust as possible in the face of changing technology.,1,"vague_term,weak_modal"
0000 - cctns.pdf,Application pages should be designed and implemented so that there are acceptable opening times and download times for the expected range of technical contexts of use (e.g.,1,"vague_term,weak_modal"
0000 - cctns.pdf,Potential user errors as well as the effort needed to recover from errors should be minimized.,1,weak_modal
0000 - cctns.pdf,"The content of error messages shown on the pages or special error pages should clearly state the reason why the error occurred and, if possible, actions the user can take to resolve the error.",1,"weak_modal,vague_condition"
0000 - cctns.pdf,"When designing user interfaces for use by diverse groups, input and output of information elements such as currency, units of measurement, temperatures, date and time, phone numbers, address or postal codes should be designed so that they are usable.",1,weak_modal
0000 - cctns.pdf,"Text should be able to be resized by the user, using functions provided by the user agent or other appropriate means i.e.",1,"vague_term,weak_modal,missing_actor"
0000 - cctns.pdf,The quality of textual content with respect to spelling and grammar should be sufficient so as not to impede readability.,1,"vague_term,weak_modal"
0000 - cctns.pdf,"The reading and understanding of the textual content on the screen should be supported by suitable means, including the use of short sentences, the division of the text into shorter chunks or the presentation of content items in the form of bullet points.",1,weak_modal
0000 - cctns.pdf,"Fast skimming of text should be supported by the provision of clear links, bulleted lists, highlighted keywords, logical headings, and short phrases and sentences.",1,"vague_term,weak_modal"
0000 - cctns.pdf,Text presented on the pages should be readable taking into account the expected display characteristics and spatial arrangement.,1,weak_modal
0000 - cctns.pdf,ISO 9241-303 shall be consulted for screen text legibility requirements.,0,
0000 - cctns.pdf,Within-page links should be clearly distinguishable from other links that lead to a different page.,1,weak_modal
0000 - cctns.pdf,Text pages containing large proportions of links should E-Governance Mission Mode Project:,1,"vague_term,weak_modal"
0000 - cctns.pdf,"Navigation links — particularly links representing the main navigation structure — should be labelled with terms that are familiar to the user, based on his/her general knowledge, prior experience in the application domain or experience of using other systems.",1,weak_modal
0000 - cctns.pdf,"The target or purpose of a link should be directly indicated by its label, avoiding generic labels such as “go” or “click here” except where the purpose of the link is clear from its context on the page or the labels have commonly understood semantics in the particular application domain.",1,weak_modal
0000 - cctns.pdf,Links that open new browser windows or pop-up windows should be clearly marked.,1,weak_modal
0000 - cctns.pdf,Navigation links should be clearly distinguishable from controls activating some action.,1,"undefined_quantity,weak_modal"
0000 - cctns.pdf,"If a document is either too long, dispersed over several pages or in a specific layout that is not suitable for online reading, a printer-friendly version of the document should be provided that prints the content in a form acceptable to the user (e.g.",1,"vague_term,undefined_quantity,weak_modal"
0000 - cctns.pdf,space filled only with the background color should be used in such a way that it does not impair the visual skimming of the page.,1,weak_modal
0000 - cctns.pdf,Selecting appropriate page lengths The length of a page should be selected so as to support the primary purpose and use of the page.,1,"vague_term,weak_modal"
0000 - cctns.pdf,Longer pages can be more appropriate when users want to read the content without interruptions or when the page needs to match a paper counterpart.,1,"vague_term,weak_modal"
0000 - cctns.pdf,"Colour should be used with care, taking into account human capabilities and restrictions in perceiving colour, and not as the only means of conveying information.",1,"weak_modal,missing_actor"
0000 - cctns.pdf,Color should never be the only means of coding.,1,"weak_modal,missing_actor"
0000 - cctns.pdf,Some users may have difficulties in perceiving certain colors or color combinations E-Governance Mission Mode Project:,1,"undefined_quantity,weak_modal"
0000 - cctns.pdf,"If frames are used, care should be taken to avoid possible problems, for example, those involving the use of the back button, bookmarking of pages, or scrolling of information.",1,weak_modal
0000 - cctns.pdf,"If frames are used, an alternative way of presenting relevant information without frames should be provided.",1,weak_modal
0000 - cctns.pdf,When style sheets and/or frames are turned off it should be possible for the user to read and understand the page;,1,weak_modal
0000 - cctns.pdf,"alternatively, the user should be provided with an equivalent alternative text-only page.",1,weak_modal
0000 - cctns.pdf,"Pages should be designed using consistent layout schemes, supporting the user in finding similar information at the same position on different pages.",1,"weak_modal,missing_actor"
0000 - cctns.pdf,Page titles should be placed in a consistent location on the different pages.,1,weak_modal
0000 - cctns.pdf,"Observing principles of human perception When designing application pages, the general principles of human perception should be taken into account.",1,weak_modal
0000 - cctns.pdf,The International Standards mentioned below shall be consulted for guidance.,1,vague_term
0000 - cctns.pdf,"In addition, when designing multimedia information presentations, the design principles and recommendations described in ISO 14915-1 to ISO 14915-3 should be taken into account.",1,weak_modal
0000 - cctns.pdf,Each page should contain a link leading to the home page of the application or to a landmark page that is easy to recognize for the user.,1,"vague_term,weak_modal"
0000 - cctns.pdf,A separate navigation overview such as a site map should be provided for application showing the structure of the site in an overview form.,1,weak_modal
0000 - cctns.pdf,"If navigation components (or overviews) are shown in conjunction with associated content, consistency between the navigation component and the content shown should be maintained by indicating in the navigation component (e.g.",1,weak_modal
0000 - cctns.pdf,Navigation components should be placed consistently on the pages or in the framesets in the pages of the application.,1,weak_modal
0000 - cctns.pdf,Adapting the content and the navigation of a user interface to individual users or user groups can be a useful mechanism for providing information that is of interest to the users and for making access to relevant information more efficient.,1,"vague_term,weak_modal"
0000 - cctns.pdf,User adaptation can also be important for making the user interface more accessible.,1,weak_modal
0000 - cctns.pdf,"Different approaches can be used for achieving these goals, like providing users with means for customizing the user interface to their personal needs i.e.",1,weak_modal
0000 - cctns.pdf,"When providing different access paths or navigation structures for different user groups, the tasks and information needs of these user groups should be taken into consideration.",1,weak_modal
0000 - cctns.pdf,It should be made evident to the user when individualization and/or adaptation are used.,1,"weak_modal,missing_actor"
0000 - cctns.pdf,"If predefined user profiles or user-specified profiles are used for individualizing or adapting content, the profile currently used should be made evident.",1,weak_modal
0000 - cctns.pdf,"If user-specified profiles are used, users should be able to see, modify and delete that profile on demand.",1,weak_modal
0000 - cctns.pdf,The user interfaces of the system should follow the guidelines specified under www.usability.gov System Availability 1.,1,"vague_term,weak_modal"
0000 - cctns.pdf,The System must be available to users:,0,
0000 - cctns.pdf,The planned downtime for the System must not exceed <xx> hours per <rolling three month period>.,0,
0000 - cctns.pdf,Unplanned downtime for the System must not exceed <xx hours/minutes> per <rolling three month period>.,0,
0000 - cctns.pdf,The number of incidents of unplanned downtime for the System must not exceed <x> per <rolling three month period>.,0,
0000 - cctns.pdf,"In the event of any software or hardware failure, it must be possible to restore the System (with inline synchronization) within no more than <xx> hours.",0,
0000 - cctns.pdf,The System must provide adequate response times for commonly performed functions under both standard and peak conditions 2.,1,vague_term
0000 - cctns.pdf,The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 10-15 seconds regardless of the storage capacity or number of cases in the system.,1,vague_term
0000 - cctns.pdf,"The System must be able to retrieve and display within 5-8 seconds the case which has been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system.",1,multiple_actions
0000 - cctns.pdf,"The System must be able to retrieve and display within 20 seconds the case which has not been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system.",1,multiple_actions
0000 - cctns.pdf,"The System be scaleable and must not have any features which would preclude use in small or large police stations, with varying numbers of cases handled.",1,vague_term
0000 - cctns.pdf,Crime & Criminals Tracking Network and Systems Ministry of Home Affairs Draft Core Scope Document Page 17 of 19 The deployment of the application will be at state level and will be configured and customized as per the state specific extensions.,0,
0000 - cctns.pdf,The systems should be designed with the following broad guidelines:,1,"vague_term,weak_modal"
0000 - cctns.pdf,System Functionality 1) The system should support multilingual interface 2) The system should be designed in manner that operational data is not lost in case of any failure of equipment or communication network.,1,weak_modal
0000 - cctns.pdf,3) The system should work even in an offline mode with the critical functionality 4) The system should be designed to have satisfactory performance even in Police Stations connected on low-bandwidth 5) The system should be implemented using Service Oriented Architecture (SOA) and have a modular design 6) The system should be developed on Open Standards 7) The system should be built on a common User Access and Authentication Service to ensure Single-Sign on for the end-user 8) The system should be developed for a centralized deployment and maintenance 9) The system should be developed to be deployed in a 3-tier datacenter architecture 10) The system should be designed to have a n-tier architecture with the presentation logic separated from the business logic that is again separated from the data-access logic 11) The system should be extensible to provide access to the interfaces through PDA’s and mobile data terminals 12) The system should adopt standardized formats and common metadata elements 13) The system should be designed for access through browser-based systems and must impose minimal requirements on the client device 14) The system must support multiple types of communication services for remote access 15) The system should have capability to support public access to a subset of data and functionality 16) The system should support multi-tier authentication where required E-Governance Mission Mode Project:,1,"vague_term,weak_modal,multiple_actions"
0000 - cctns.pdf,"Crime & Criminals Tracking Network and Systems Ministry of Home Affairs Draft Core Scope Document Page 18 of 19 17) The system should support SSL encrypted connections 18) The system should support secure virtual private network connections 19) The system should use HTTPS as the communication protocol, i.e., HTTP over an encrypted secure socket layer (SSL) 20) The system should run on multiple browsers 21) The system should support selective encryption of the stored data 22) The system should ensure secure transmission of data over the network and utilize SSL and 2-way digital signatures 23) The system should ensure high standards of security and access control through:",1,"vague_term,weak_modal"
0000 - cctns.pdf,a) Prevent cross-site scripting b) Validate the incoming data / user request c) Encode the incoming data / user request d) Prevent SQL Injection e) Utilize parameterized queries f) Sanitize the user-inputs g) Validate the data both at the client and server h) Do not allow hard delete and perform only soft tagging the row for deletion 24) The system should ensure high scalability and performance through:,1,"vague_term,weak_modal,multiple_actions"
0000 - cctns.pdf,"Aggressive page loading to be considered based on the screen and estimate usage pattern c) Leverage Asynchronous HTTP socket capabilities of web server for scalability and performance d) Host all the static content (documents, images) on the web server e) The search results should be fetched from the database in batches of 10 or 20 maximum as configured within the application f) Display of records on the screen in batches/paged manner g) The search should fetch only the fields that need to be displayed to the user.",1,"weak_modal,multiple_actions"
0000 - cctns.pdf,Only when the user clicks on a particular record to view its further details should a query be fired to fetch the additional details for this particular record only h) A hierarchical cache should be configured and used for caching of results of most E-Governance Mission Mode Project:,1,weak_modal
0000 - cctns.pdf,Crime & Criminals Tracking Network and Systems Ministry of Home Affairs Draft Core Scope Document Page 19 of 19 frequently used searches i) Database Indexes should be applied on the key columns used for searching,1,"undefined_quantity,weak_modal"
0000 - gamma j.pdf,The customer can review this document to ensure their needs along with the needs of their user’s are being met in their new Web Store program.,1,weak_modal
0000 - gamma j.pdf,The development team will also use this document for guidance on overall design and implementation of the Web Store system.,0,
0000 - gamma j.pdf,"Finally, the tech writer will use this to assist with user documentation.",0,
0000 - gamma j.pdf,• Manage customer accounts • Manage an online store inventory • Manage a customer’s “Shopping Cart” • Confirm Orders • Have an unambiguous interface to assist in browsing the categories and products • Use Secure Socket Layer (SSL) for security • Have an availability of 99.999% • Allow an optional mirror site for reliability and backups • Feature interface for future software enhancement via “Plug-ins” The initial inventory will be 100 items.,1,"vague_term,multiple_actions"
0000 - gamma j.pdf,"Since this will be a “Plug and Play device”, no software installation will be necessary.",0,
0000 - gamma j.pdf,This software will contain all of the basic needs to manage an online store.,0,
0000 - gamma j.pdf,This will be a plug and play device with its own CPU and operating system.,1,missing_actor
0000 - gamma j.pdf,Web Store shall operate with the following internet browsers:,1,vague_term
0000 - gamma j.pdf,Web Store shall operate on an Intel based system with Slackware Linux 2.6 and Apache Web Server.,0,
0000 - gamma j.pdf,"Although maintenance documentation will be supplied and the operating system will be tested, the developers of this Web Store are not responsible for the functionality of the operating system.",0,
0000 - gamma j.pdf,The system shall use SQL based database to store inventory information.,0,
0000 - gamma j.pdf,Must use a SQL based database.,1,missing_actor
0000 - gamma j.pdf,Shall install online help for users via the web interface UD-2:,1,missing_actor
0000 - gamma j.pdf,"Shall deliver Operations and Maintenance manual, Users Guide book, and Installation Instructions for the Administrator.",1,missing_actor
0000 - gamma j.pdf,Assume Yoggie will freeze the baseline of the USB system after delivery.,0,
0000 - gamma j.pdf,"System Features 3.1 Customer Accounts 3.1.1 Description And Priority Customers will be able to create accounts to store their profiles, contact information, purchase history, and confirm orders.",1,multiple_actions
0000 - gamma j.pdf,The interface must remain consistent among various web browsers and be intuitive to the customer.,1,"vague_term,undefined_quantity"
0000 - gamma j.pdf,3.6 Plug-in API 3.6.1 Description And Priority The system will feature an API to allow customers to build custom plug-ins to be able to meet their needs.,1,vague_term
0000 - gamma j.pdf,3.6.2 Stimulus/Response Sequences • Web Browser initiates request to Web Server via HTTPS • Web Server parses request • Web Server submits request to API Service • API Service picks up request • API Service submits request to Plug-in • Plug-in picks up request • Plug-in runs tasks GAMMA-J Web Store 9 • Plug-in returns results • API Service validates results • API Service returns results • Web Server checks for completion • Web Server returns results to Web Browser • Web Browser displays results 3.6.3 Functional Requirements The system will implement an Application Interface to allow for various plug-ins to interact with the system.,1,"vague_term,undefined_quantity"
0000 - gamma j.pdf,The order database of WebOrder will communicate with the account system through a programmatic interface for the billing operations.,0,
0000 - gamma j.pdf,"Through programmatic interface, WebOrder will transmit information of items ordered by customers to the Inventory management system.",0,
0000 - gamma j.pdf,The WebOrder system shall send an e-mail confirmation to the customer that the items they ordered will be delivered to the shipping address along with tracking number.,0,
0000 - gamma j.pdf,The WebOrder system shall send an e-mail to System Administrator regarding any technical queries from customers or sales people.,0,
0000 - gamma j.pdf,Quality Attribute Requirements 5.1 Performance Requirements • Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.,0,
0000 - gamma j.pdf,• The system shall be able to handle 1000 customers logged in concurrently at the same time.,0,
0000 - gamma j.pdf,• The system shall be able to retrieve 200 products per second.,0,
0000 - gamma j.pdf,• The system shall be able to add product to shopping cart in less than 2ms.,0,
0000 - gamma j.pdf,• The system shall be able to search for a specified product in less than 1 second.,0,
0000 - gamma j.pdf,• The system shall be able to email customer and vendor in less than 1 second.,0,
0000 - gamma j.pdf,• The system shall be able to validate credit card in less than 2 seconds.,0,
0000 - gamma j.pdf,• The system shall be able to acquire shipping charges in less than 2 seconds.,0,
0000 - gamma j.pdf,• The system shall be able to restore 1000 records per second.,0,
0000 - gamma j.pdf,5.2 Safety Requirements • The system will do periodic backups through a live internet connection.,0,
0000 - gamma j.pdf,5.3 Security Requirements • The system shall validate credit cards against fraud.,0,
0000 - gamma j.pdf,• The system shall encrypt all sensitive information via https.,0,
0000 - gamma j.pdf,• The system shall encrypt all customer data in database.,0,
0000 - gamma j.pdf,• The system shall auto detect IP DOS attacks and block IP automatically.,0,
0000 - gamma j.pdf,• The system shall detect consecutive failed login attempts.,0,
0000 - gamma j.pdf,• The system shall be protected by open source firewall called Firestarter.,0,
0000 - gamma j.pdf,http://www.fs-security.com/ 5.4 Availability Requirements • The system shall have an availability of 99.99%.,0,
0000 - gamma j.pdf,5.5 Efficiency Requirements • The system shall perform searches via Dijkstra's shortest path algorithm.,0,
0000 - gamma j.pdf,"• For returning customers, the system shall validate 'existing' credit card in system after each log in.",0,
0000 - gamma j.pdf,• The system shall automatically compress image files that are too large in size.,1,vague_term
0000 - gamma j.pdf,• The system will employ on demand asynchronous loading for faster execution of pages.,1,vague_term
0000 - gamma j.pdf,• The system shall validate email address existence.,0,
0000 - gamma j.pdf,"5.6 Usability Requirements GAMMA-J Web Store 22 • The system shall be easy to use • The system shall be easy to learn • The system shall utilize help bubbles to assist managers, customers, and administrators • The system shall employ easy to locate buttons • The system shall prompt customer with friend easy to read error messages.",1,"vague_term,multiple_actions"
0000 - gamma j.pdf,• The system shall utilize consistent symbols and colors for clear notifications.,0,
0000 - gamma j.pdf,5.7 Maintainability Requirements • The system shall utilize interchangeable plugins.,0,
0000 - gamma j.pdf,• The system shall be easily updatable for fixes and patches.,1,vague_term
0000 - gamma j.pdf,"• The system shall create logs of all changes, updates, or fixes that are done to the site.",0,
0000 - gamma j.pdf,• The system shall be easy to upgrade.,1,vague_term
0000 - gamma j.pdf,5.8 Portability Requirements • The system shall be extremely portable via the usb drive.,0,
0000 - gamma j.pdf,• The system shall be easy to migrate or backed up via another usb drive.,1,vague_term
0000 - gamma j.pdf,5.9 Testability Requirements • The system should be able to run under debug mode.,1,weak_modal
0000 - gamma j.pdf,• The system should be able to run test credit card transactions.,1,weak_modal
0000 - gamma j.pdf,• The system should be able to run test shipping orders.,1,weak_modal
0000 - gamma j.pdf,• The system should be able to create test environment of weborder system.,1,weak_modal
0000 - gamma j.pdf,Other Requirements • The system hardware shall be fixed and patched via an internet connection.,0,
0000 - gamma j.pdf,• Yoggie shall coordinate on future enhancement and features with our organization.,0,
0000 - gamma j.pdf,• The system shall adhere to the following hardware requirements:,1,vague_term
0000 - gamma j.pdf,"They will expertly produce the documentation products needed such as user manuals, Installation guides.",1,missing_actor
0000 - gamma j.pdf,A statement of a piece of required functionality or a behavior that a system will exhibit under specific conditions.,0,
0000 - gamma j.pdf,A description of a property or characteristic that the system should exhibit.,1,weak_modal
0000 - gamma j.pdf,A condition that must be satisfied or a state the system must be in before a use case may begin.,1,weak_modal
0000 - gamma j.pdf,A statement of a customer need or objective or of a condition or capability that a product must possess to satisfy such a need or objective.,0,
0000 - gamma j.pdf,Customer must be able to access the web order system via a web browser with HTTPS.,1,missing_actor
0000 - gamma j.pdf,Customer account must already be registered.,0,
0000 - gamma j.pdf,Customer must be logged-in on the system.,1,missing_actor
0000 - gamma j.pdf,Customer must be logged-in on the system.,1,missing_actor
0000 - gamma j.pdf,The customer must be logged-in on the system.,0,
0000 - gamma j.pdf,Customer must be logged-in on the system.,1,missing_actor
0000 - gamma j.pdf,Customer must have item(s) in the shopping cart.,1,missing_actor
0000 - gamma j.pdf,Administrator account must already be registered.,0,
0000 - gamma j.pdf,Administrator must be logged-in on the system.,1,missing_actor
0000 - gamma j.pdf,Administrator must be able to access the weborder system via a web browser with HTTPS.,1,missing_actor
0000 - gamma j.pdf,Administrator must be able to access the weborder system via a web browser with HTTPS.,1,missing_actor
0000 - gamma j.pdf,Administrator must be able to access the weborder system via a web browser with HTTPS.,1,missing_actor
0000 - gamma j.pdf,Administrator must be able to access the weborder system via a web browser with HTTPS.,1,missing_actor
0000 - gamma j.pdf,Administrator must be able to access the weborder system via a web browser with HTTPS.,1,missing_actor
0000 - gamma j.pdf,Administrator must be able to access the weborder system via a web browser with HTTPS.,1,missing_actor
0000 - gamma j.pdf,Administrator must be able to access the weborder system via a web browser with HTTPS.,1,missing_actor
0000 - gamma j.pdf,Sales Person account must already be registered.,0,
0000 - gamma j.pdf,Sales Person must be logged-in on the system.,0,
0000 - gamma j.pdf,Sales Person must be able to access the weborder system via a web browser with HTTPS.,0,
0000 - gamma j.pdf,Sales Person must be able to access the weborder system via a web browser with HTTPS.,0,
0000 - gamma j.pdf,Sales Person must be able to access the weborder system via a web browser with HTTPS.,0,
0000 - gamma j.pdf,Customer must be able to access the weborder system via a web browser with HTTPS.,1,missing_actor
0000 - gamma j.pdf,Customer account must already be registered.,0,
0000 - gamma j.pdf,Customer must be logged-in on the system.,1,missing_actor
0000 - gamma j.pdf,Customer must be logged-in on the system.,1,missing_actor
0000 - gamma j.pdf,The customer must be logged-in on the system.,0,
0000 - gamma j.pdf,Customer must be logged-in on the system.,1,missing_actor
0000 - gamma j.pdf,Customer must have item(s) in the shopping cart.,1,missing_actor
0000 - gamma j.pdf,The organization has to figure out a way to have a smooth transition of orders coming in through telephones to the new online ordering system without loosing business to the competitor.,0,
0000 - gamma j.pdf,A separate module to generate the tracking numbers and having a transportation system will be considered in the future.,0,
0000 - gamma j.pdf,16 digit numeric string * Shipping address = * Address where the item has to be shipped * Credit card expiry date = * The date on the credit card when it will get expired;,0,
0000 - inventory.pdf,Scope The IUFA application give the unauthorised user the possibility to use a web based interface that will available to use any time IUfA involve to the following operations:,1,vague_term
0000 - inventory.pdf,Inventory assets Assets in the inventory are classified in 3 types  Rooms and space  Software licences  All other assets Assets can be grouped like computer parts 4.2.,1,weak_modal
0000 - inventory.pdf,Users levels Three administrative levels that can approve inventory transactions  University level (level 3)  Faculty level (level 2)  Department level (level 1)  Users’ level can place inventory requests (level 0)  IT and security level to maintain the inventory (level 4) 4.4.,1,weak_modal
0000 - inventory.pdf,User roles A user can have one of the following role  University administrators  Faculty administrators  Department administrators University Faculty of Arts and Science Faculty of Computer Science Faculty of Engineering Department of Biology Department of Sociology Department of Software Engineering Department of Computer Theory Department of Engineering Department of Mathmatics 4  Inventory administrators:,1,"vague_term,weak_modal"
0000 - inventory.pdf,users that can be delegated by any administrative level to work and on the applications assigned permission can varies from one user to another depending on its assigned tasks.,1,weak_modal
0000 - inventory.pdf,Inventory administrators can be affected to any administrative or organizational level according to their assigned tasks  Users:,1,weak_modal
0000 - inventory.pdf,Permissions List Permission are should be grouped by role in the following way:,1,"vague_term,weak_modal"
0000 - inventory.pdf, Department administrator have control on his department inventory  Faculty administrator have control on his faculty inventory  University administrator and IT Administrators have the control on the entire inventory  IT administrators can create different category of permission to help administrators to delegate a part of their tasks This list resume all permission that a user can have 1.,1,weak_modal
0000 - inventory.pdf,"audit:show Note that permissions for each administrative level are predefined  Level 0 has the permission to create requests only  Level 1 can control the assets and locations that he owns  Level 2 can control the assets and locations that owns and get all level1 permissions  Level 3 can control the assets and locations that owns and get all level2 permissions  Level 1, 2 and 3 can delegate some or all of their permission to any user  Level 4 has all possible permissions.",1,"undefined_quantity,weak_modal"
0000 - inventory.pdf,request must be approved by a DA group member and faculty group member unless it came from a higher level group 5.1.3.,1,"vague_term,missing_actor"
0000 - inventory.pdf,request can be made by any authorised user and approved by faculty group or higher level 5.1.4.,1,"vague_term,weak_modal,missing_actor"
0000 - inventory.pdf,Transfer outside university should be approved by the university group 5.2.,1,weak_modal
0000 - inventory.pdf,Any administrative level user or inventory user can edit an asset that belongs to its department;,1,weak_modal
0000 - inventory.pdf,request can be made by any authorised user 5.5.2.,1,"weak_modal,missing_actor"
0000 - inventory.pdf,An inventory user should check returned asset and update inventory 5.7.,1,weak_modal
